GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
914;"2026/2";"SEE";101;"FEBI BILSTEIN";"42218";8
914;"2026/2";"SEE";192;"FAG";"840089310";46
914;"2026/2";"Germany";35;"LEMFÖRDER";"2225103";662
914;"2026/2";"Germany";35;"LEMFÖRDER";"1334101";76
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"10584";14
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6001";147
914;"2026/2";"Germany";144;"MEYLE";"37160200042HD";473
914;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J4820317";54
914;"2026/2";"Germany";35;"LEMFÖRDER";"3382301";619
914;"2026/2";"Germany";89;"DELPHI";"TA1135";87
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"15402";39
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"181411";49
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"182089";41
914;"2026/2";"West Europe";161;"TRW";"JTE458";7
914;"2026/2";"EEU";192;"FAG";"825009310";3
914;"2026/2";"EEU";192;"FAG";"840062310";3
914;"2026/2";"EEU";192;"FAG";"840077410";6
914;"2026/2";"EEU";192;"FAG";"840080410";3
914;"2026/2";"EEU";192;"FAG";"840084310";37
914;"2026/2";"EEU";192;"FAG";"840085410";3
914;"2026/2";"Germany";144;"MEYLE";"40160200000HD";326
914;"2026/2";"Germany";144;"MEYLE";"4160200003HD";1
914;"2026/2";"Germany";144;"MEYLE";"6160200008";41
914;"2026/2";"Germany";144;"MEYLE";"6160200011HD";254
914;"2026/2";"Germany";144;"MEYLE";"6160200025HD";18
914;"2026/2";"Germany";144;"MEYLE";"6160200028HD";14
914;"2026/2";"Germany";144;"MEYLE";"6160205579";7
914;"2026/2";"Germany";144;"MEYLE";"6160206002HD";70
914;"2026/2";"Germany";156;"JAPANPARTS";"SA224";1
914;"2026/2";"Germany";156;"JAPANPARTS";"TI1019L";7
914;"2026/2";"Germany";35;"LEMFÖRDER";"1995702";73
914;"2026/2";"Germany";35;"LEMFÖRDER";"3528102";982
914;"2026/2";"Germany";127;"NK";"5033671";61
914;"2026/2";"Nordic";101;"FEBI BILSTEIN";"183100";1
914;"2026/2";"Nordic";101;"FEBI BILSTEIN";"183114";1
914;"2026/2";"West Europe";37;"MONROE";"L29127";2
914;"2026/2";"West Europe";37;"MONROE";"L43101";2
914;"2026/2";"EEU";192;"FAG";"840100610";77
914;"2026/2";"EEU";192;"FAG";"840102010";2
914;"2026/2";"EEU";192;"FAG";"840110310";2
914;"2026/2";"EEU";350;"BLUE PRINT";"ADM58774";1
914;"2026/2";"B";35;"LEMFÖRDER";"3578001";2
914;"2026/2";"B";101;"FEBI BILSTEIN";"109569";3
914;"2026/2";"B";101;"FEBI BILSTEIN";"182089";12
914;"2026/2";"B";101;"FEBI BILSTEIN";"22909";8
914;"2026/2";"B";101;"FEBI BILSTEIN";"30090";4
914;"2026/2";"B";144;"MEYLE";"1160200040HD";4
914;"2026/2";"B";144;"MEYLE";"2160200011";9
914;"2026/2";"B";144;"MEYLE";"2160200012";7
914;"2026/2";"B";144;"MEYLE";"2160200041HD";9
914;"2026/2";"B";144;"MEYLE";"28160200011";7
914;"2026/2";"B";144;"MEYLE";"40160205723HD";18
914;"2026/2";"B";144;"MEYLE";"7160200007";2
914;"2026/2";"B";403;"MAXGEAR";"690186";55
914;"2026/2";"B";403;"MAXGEAR";"690223";49
914;"2026/2";"B";403;"MAXGEAR";"690382";15
914;"2026/2";"West Europe";94;"METZGER";"54050802";2
914;"2026/2";"Germany";35;"LEMFÖRDER";"3129401";1435
914;"2026/2";"Germany";35;"LEMFÖRDER";"3409101";428
914;"2026/2";"West Europe";134;"MOOG";"FIES5091";1
914;"2026/2";"EEU";4821;"QUARO";"QS2200HQ";13
914;"2026/2";"EEU";4821;"QUARO";"QS3107HQ";49
914;"2026/2";"EEU";4821;"QUARO";"QS5822HQ";17
914;"2026/2";"EEU";4821;"QUARO";"QS6001HQ";7
914;"2026/2";"EEU";4821;"QUARO";"QS6488HQ";1
914;"2026/2";"EEU";4821;"QUARO";"QS7655HQ";48
914;"2026/2";"EEU";4821;"QUARO";"QS9597HQ";86
914;"2026/2";"Germany";35;"LEMFÖRDER";"3201202";438
914;"2026/2";"Germany";35;"LEMFÖRDER";"3499801";229
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"102410";43
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"180284";10
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"26635";53
914;"2026/2";"Germany";101;"FEBI BILSTEIN";"28319";26
914;"2026/2";"Germany";144;"MEYLE";"16160200038HD";345
914;"2026/2";"Germany";192;"FAG";"840092610";17
914;"2026/2";"Germany";192;"FAG";"840106110";152
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6022";67
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6070";55
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6116";89
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6143";2
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6262";7
914;"2026/2";"Germany";2789;"NAPA Germany";"NST6272";20
