GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
273;"2026/2";"West Europe";50;"SKF";53
273;"2026/2";"EEU";144;"MEYLE";205
273;"2026/2";"Austria";144;"MEYLE";27198
273;"2026/2";"Austria";403;"MAXGEAR";2318
273;"2026/2";"Croatia";101;"FEBI BILSTEIN";4527
273;"2026/2";"Nordic";89;"DELPHI";711
273;"2026/2";"Nordic";101;"FEBI BILSTEIN";557
273;"2026/2";"B";35;"LEMFÖRDER";582
273;"2026/2";"Slovenia";50;"SKF";183
273;"2026/2";"Germany";162;"VAICO";1868
273;"2026/2";"Austria";156;"JAPANPARTS";747
273;"2026/2";"Austria";192;"FAG";2369
273;"2026/2";"Austria";209;"TRUCKTEC AUTOMOTIVE";14
273;"2026/2";"SEE";35;"LEMFÖRDER";2164
273;"2026/2";"SEE";35;"LEMFÖRDER";1840
273;"2026/2";"Portugal";6473;"NAPA";508
273;"2026/2";"EEU";101;"FEBI BILSTEIN";11047
273;"2026/2";"EEU";108;"TRISCAN";644
273;"2026/2";"West Europe";206;"A.B.S.";184
273;"2026/2";"West Europe";430;"RTS";22
273;"2026/2";"Balkan";50;"SKF";100
273;"2026/2";"Nordic";101;"FEBI BILSTEIN";2158
273;"2026/2";"Nordic";4758;"TALOSA";279
273;"2026/2";"West Europe";192;"FAG";244
273;"2026/2";"Switzerland";209;"TRUCKTEC AUTOMOTIVE";6
273;"2026/2";"Austria";267;"FAI AutoParts";12
273;"2026/2";"Nordic";144;"MEYLE";291
273;"2026/2";"West Europe";108;"TRISCAN";1006
273;"2026/2";"Nordic";192;"FAG";284
273;"2026/2";"Austria";6984;"Oyodo";217
273;"2026/2";"West Europe";127;"NK";2765
273;"2026/2";"West Europe";403;"MAXGEAR";2044
273;"2026/2";"N";95;"MAGNETI MARELLI";26
273;"2026/2";"Serbia";421;"COMLINE";316
273;"2026/2";"Portugal";35;"LEMFÖRDER";558
273;"2026/2";"SEE";5627;"ALTE AUTOMOTIVE";1
273;"2026/2";"Germany";85;"KYB";103
273;"2026/2";"West Europe";192;"FAG";99
273;"2026/2";"SEE";4346;"vika";21
273;"2026/2";"Nordic";108;"TRISCAN";175
273;"2026/2";"Nordic";144;"MEYLE";281
273;"2026/2";"Nordic";403;"MAXGEAR";338
