GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL
;Absolut;;35811;;25938;22508;25902;27726;15417;20584;27523;27581;24399;27082
;Prozent;;;;72;63;72;77;43;57;77;77;68;76
1561;Fensterheber;000000000013192426;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0000052063785;1;0,0028;0;0;0;1;0;0;0;0;0;0
1561;Fensterheber;0000052204608;1;0,0028;0;0;0;1;0;0;0;0;0;0
1561;Fensterheber;0002691V001000000;2;0,0056;0;0;1;0;0;0;1;0;0;0
1561;Fensterheber;0002691V002000000;1;0,0028;0;0;1;0;0;0;1;0;0;0
1561;Fensterheber;0002691V003000000;2;0,0056;0;0;1;0;0;0;1;0;0;1
1561;Fensterheber;0002702V003000000;2;0,0056;0;0;1;0;0;0;1;0;0;1
1561;Fensterheber;0007200079;3;0,0084;1;0;0;1;1;0;0;0;0;0
1561;Fensterheber;0007200246;2;0,0056;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0007200346;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0007250002;1;0,0028;1;1;0;0;1;0;1;0;0;0
1561;Fensterheber;0007250102;1;0,0028;1;1;0;0;1;0;1;0;0;0
1561;Fensterheber;001024;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00191801;2;0,0056;0;0;1;0;1;1;0;0;1;1
1561;Fensterheber;00311801;1;0,0028;0;0;1;0;1;0;0;0;0;0
1561;Fensterheber;0039967;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0040008;2;0,0056;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00611803;1;0,0028;0;0;1;0;0;1;1;0;1;1
1561;Fensterheber;0095;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00SKV191;1;0,0028;0;0;1;0;0;1;1;0;0;0
1561;Fensterheber;00SKV202;1;0,0028;0;0;1;0;0;0;0;0;0;0
1561;Fensterheber;00SKV412;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00SKV464;1;0,0028;0;0;0;0;1;0;0;0;0;0
1561;Fensterheber;00SKV761;1;0,0028;0;0;1;0;0;0;1;0;0;0
1561;Fensterheber;010160;1;0,0028;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;010178;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;0103436;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;01046200;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;01046600A;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;01046700A;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;010503;2;0,0056;0;0;1;1;0;1;1;1;1;0
1561;Fensterheber;010504;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;010505;3;0,0084;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;010507;3;0,0084;0;0;1;1;0;1;1;0;1;0
1561;Fensterheber;0113262;1;0,0028;0;0;0;0;0;0;0;1;0;1
1561;Fensterheber;011350;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;011425;1;0,0028;0;0;0;0;0;0;0;1;1;0
1561;Fensterheber;011510;3;0,0084;1;0;0;1;0;0;0;0;1;0
1561;Fensterheber;011511;5;0,014;1;0;0;1;0;0;0;0;1;0
1561;Fensterheber;011512;2;0,0056;1;0;0;0;0;0;0;0;1;0
1561;Fensterheber;011513;1;0,0028;1;0;0;0;0;0;0;0;1;0
1561;Fensterheber;011514;3;0,0084;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;011515;8;0,0223;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;011516;1;0,0028;1;0;0;0;0;0;0;1;1;0
1561;Fensterheber;011704;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;011705;5;0,014;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;011755;1;0,0028;0;0;0;1;1;1;1;1;1;1
1561;Fensterheber;011760;2;0,0056;1;0;0;1;1;1;1;1;1;1
1561;Fensterheber;011906;1;0,0028;0;0;0;1;0;0;1;0;1;0
1561;Fensterheber;012101;1;0,0028;1;0;0;1;0;1;1;1;1;1
1561;Fensterheber;012150;2;0,0056;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;012151;10;0,0279;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;012253;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;012415;1;0,0028;1;0;0;1;0;1;1;1;1;1
1561;Fensterheber;012419;2;0,0056;1;0;0;1;0;1;1;0;1;1
1561;Fensterheber;012431;1;0,0028;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;012432;1;0,0028;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;012434;1;0,0028;1;0;1;1;0;1;1;1;1;0
1561;Fensterheber;012435;5;0,014;1;0;1;1;0;1;1;1;1;0
1561;Fensterheber;012436;2;0,0056;0;0;1;1;0;0;0;1;1;1
1561;Fensterheber;012437;2;0,0056;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;012442;1;0,0028;0;0;0;1;0;1;0;1;1;0
1561;Fensterheber;012444;1;0,0028;0;0;0;1;0;1;1;0;1;0
1561;Fensterheber;012449;1;0,0028;0;0;0;1;0;1;1;1;1;0
1561;Fensterheber;012466;2;0,0056;0;0;0;1;0;1;0;1;1;1
1561;Fensterheber;012467;1;0,0028;0;0;0;1;0;1;1;1;1;1
1561;Fensterheber;012474;2;0,0056;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;012490;6;0,0168;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;012491;2;0,0056;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;012506;1;0,0028;1;0;1;1;0;0;1;1;1;1
