GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);MAXGEAR;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL;DOGA;VALEO;FEBI BILSTEIN;LEMF?RDER;MAGNETI MARELLI;METZGER AUTOTEILE
Absolut;;;28718;;19701;27622;24857;27599;26821;27487;14706;27113;27065;24319
Prozent;;;;;69;96;87;96;93;96;51;94;94;85
Fensterheber;1561;16917;33;0,1149;6;15;20;14;16;15;0;15;21;5
Fensterheber;1561;33352;3;0,0104;4;4;8;4;8;6;0;7;4;2
Fensterheber;1561;29956;23;0,0801;2;4;2;4;4;5;0;4;4;2
Fensterheber;1561;32825;68;0,2368;0;4;0;2;6;4;0;4;2;2
Fensterheber;1561;30972;291;1,0133;8;6;10;6;7;6;4;6;8;6
Fensterheber;1561;32787;36;0,1254;0;10;0;4;5;2;2;2;0;4
Fensterheber;1561;17484;174;0,6059;6;8;6;6;6;8;6;6;14;6
Fensterheber;1561;7895;32;0,1114;2;4;2;4;10;6;2;6;5;2
Fensterheber;1561;108663;10;0,0348;0;4;3;4;4;0;0;0;4;4
Fensterheber;1561;15462;48;0,1671;10;6;4;10;8;6;2;10;20;6
Fensterheber;1561;32031;7;0,0244;2;8;12;6;18;8;0;10;6;8
Fensterheber;1561;3877;1;0,0035;0;8;2;0;4;3;0;4;9;0
Fensterheber;1561;18232;40;0,1393;4;4;4;4;4;4;2;4;8;4
Fensterheber;1561;18450;15;0,0522;4;4;4;6;6;4;4;6;14;4
Fensterheber;1561;8461;29;0,101;8;8;8;12;8;8;4;12;22;8
Fensterheber;1561;15103;1;0,0035;2;4;6;8;6;6;0;4;7;3
Fensterheber;1561;16982;15;0,0522;2;4;2;4;4;5;0;4;4;0
Fensterheber;1561;23430;6;0,0209;0;2;0;2;0;2;0;2;0;2
Fensterheber;1561;15063;2;0,007;4;4;4;4;6;4;4;5;8;4
Fensterheber;1561;13198;9;0,0313;4;14;8;14;12;10;0;10;12;2
Fensterheber;1561;18898;182;0,6337;4;14;12;9;14;10;2;14;12;2
Fensterheber;1561;10050;14;0,0487;2;8;10;8;6;6;2;10;6;4
