GENART_DESC;GENARTNR;TYPENR;BSK_POS;ART_CNT;KHER;KMOD;KW;BJVON;BJBIS;PS;CCMTECH
"Fensterheber";1561;1;10;11;"OPEL";"CORSA D (S07)";66;200607;201408;90;1364
"Fensterheber";1561;49;4;4;"BMW";"3 (E36)";73;199103;199308;100;1596
"Fensterheber";1561;50;9;4;"BMW";"3 (E36)";75;199309;199805;102;1596
"Fensterheber";1561;51;1;4;"BMW";"3 (E36)";83;199009;199308;113;1796
"Fensterheber";1561;54;8;4;"BMW";"3 (E36)";110;199101;199802;150;1990
"Fensterheber";1561;55;1;4;"BMW";"3 Coupe (E36)";110;199112;199811;150;1990
"Fensterheber";1561;206;1;0;"ALFA ROMEO";"SPIDER (105_)";96;197101;197712;131;1962
"Fensterheber";1561;276;1;4;"VW";"PASSAT B7 (362)";155;201011;201412;210;1984
"Fensterheber";1561;293;2;4;"VW";"PASSAT B7 (362)";77;201008;201412;105;1598
"Fensterheber";1561;302;1;4;"BMW";"3 Cabriolet (E36)";110;199312;199911;150;1990
"Fensterheber";1561;310;1;6;"MERCEDES-BENZ";"190 (W201)";66;198210;198410;90;1996
"Fensterheber";1561;317;2;4;"VW";"PASSAT B7 Variant (365)";90;201008;201412;122;1390
"Fensterheber";1561;326;1;4;"VW";"PASSAT B7 Variant (365)";118;201008;201412;160;1798
"Fensterheber";1561;327;7;4;"VW";"PASSAT B7 Variant (365)";77;201008;201412;105;1598
"Fensterheber";1561;339;1;6;"MERCEDES-BENZ";"190 (W201)";100;198610;199308;136;2298
"Fensterheber";1561;348;2;6;"MERCEDES-BENZ";"190 (W201)";53;198308;198908;72;1997
"Fensterheber";1561;356;16;4;"VW";"PASSAT B7 Variant (365)";103;201008;201412;140;1968
"Fensterheber";1561;358;3;4;"VW";"PASSAT B7 Variant (365)";125;201008;201412;170;1968
"Fensterheber";1561;359;1;4;"VW";"PASSAT B7 Variant (365)";125;201008;201301;170;1968
"Fensterheber";1561;362;1;6;"MERCEDES-BENZ";"190 (W201)";118;198609;199308;160;2597
"Fensterheber";1561;370;22;4;"RENAULT";"MEGANE III Grandtour (KZ0/1)";78;200902;;106;1461
"Fensterheber";1561;371;6;4;"RENAULT";"MEGANE III Schrägheck (BZ0/1_, B3_)";78;200902;;106;1461
"Fensterheber";1561;434;3;8;"CITROËN";"C4 II (NC_)";88;200911;201612;120;1598
"Fensterheber";1561;437;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";87;198809;199308;118;1996
"Fensterheber";1561;438;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";90;198809;198912;122;1996
