GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);MAXGEAR;Ac Rolcar;VAN WEZEL;DOGA;VALEO;FEBI BILSTEIN;LEMF?RDER;MAGNETI MARELLI;PMM;METZGER AUTOTEILE
Absolut;;;32804;;22628;28438;31458;30696;31579;17009;31169;30808;31641;27879
Prozent;;;;;69;87;96;94;96;52;95;94;96;85
Fensterheber;1561;19040;2;0,0061;6;20;14;16;15;0;15;20;15;5
Fensterheber;1561;32029;20;0,061;2;12;6;18;8;0;10;6;8;8
Fensterheber;1561;16917;38;0,1158;6;20;14;16;15;0;15;21;15;5
Fensterheber;1561;23430;7;0,0213;0;0;2;0;2;0;2;0;2;2
Fensterheber;1561;8995;17;0,0518;2;12;4;8;4;0;10;8;10;4
Fensterheber;1561;32787;23;0,0701;0;0;4;5;2;2;2;0;10;4
Fensterheber;1561;32825;103;0,314;0;0;2;6;4;0;4;2;4;2
Fensterheber;1561;16104;142;0,4329;6;14;10;7;10;0;6;17;10;5
Fensterheber;1561;16108;26;0,0793;6;14;10;7;10;0;6;17;10;5
Fensterheber;1561;17768;68;0,2073;4;8;8;5;4;2;4;6;6;4
Fensterheber;1561;16967;10;0,0305;6;24;14;18;17;0;16;27;10;4
Fensterheber;1561;13198;3;0,0091;4;8;14;12;10;0;10;12;14;2
Fensterheber;1561;11042;35;0,1067;6;12;8;8;8;2;8;18;8;4
Fensterheber;1561;18450;34;0,1036;4;4;6;6;4;4;6;14;4;4
Fensterheber;1561;33352;5;0,0152;4;8;4;8;6;0;7;4;4;2
Fensterheber;1561;108663;13;0,0396;0;3;4;4;0;0;0;4;4;4
Fensterheber;1561;18967;29;0,0884;4;4;6;6;4;4;6;14;4;4
Fensterheber;1561;17564;7;0,0213;4;4;4;4;4;0;4;4;4;2
Fensterheber;1561;16525;5;0,0152;2;6;10;6;16;4;8;5;6;6
Fensterheber;1561;18675;11;0,0335;4;4;4;4;4;2;3;3;4;4
Fensterheber;1561;17727;2;0,0061;4;10;10;16;9;0;15;20;9;4
Fensterheber;1561;11487;18;0,0549;2;4;4;7;4;0;8;14;4;2
Fensterheber;1561;17868;2;0,0061;6;16;10;7;10;0;6;15;10;5
Fensterheber;1561;16325;30;0,0915;6;12;8;8;8;2;8;16;8;4
Fensterheber;1561;17317;10;0,0305;0;2;4;2;2;0;2;2;2;0
Fensterheber;1561;19468;96;0,2926;4;2;6;6;6;6;6;13;8;6
Fensterheber;1561;16370;3;0,0091;0;2;2;2;4;0;3;6;2;0
Fensterheber;1561;1876;14;0,0427;2;0;12;14;10;4;12;8;10;6
Fensterheber;1561;19783;5;0,0152;4;12;8;8;8;0;8;8;8;0
Fensterheber;1561;9044;6;0,0183;6;10;10;7;10;0;6;15;10;5
Fensterheber;1561;22661;2;0,0061;4;4;4;4;4;0;4;6;4;2
Fensterheber;1561;120179;7;0,0213;2;4;4;1;2;2;4;0;4;4
Fensterheber;1561;19200;7;0,0213;4;10;6;9;4;2;4;10;6;4
Fensterheber;1561;19469;14;0,0427;6;6;6;6;6;6;6;13;8;6
Fensterheber;1561;7021;6;0,0183;4;8;4;8;6;0;7;4;4;2
Fensterheber;1561;22826;2;0,0061;0;0;2;4;2;2;2;2;2;2
Fensterheber;1561;9516;2;0,0061;4;10;8;4;6;4;8;8;6;4
Fensterheber;1561;19458;2;0,0061;4;8;8;6;4;0;6;4;8;4
Fensterheber;1561;15267;8;0,0244;6;10;8;6;8;2;10;2;8;4
Fensterheber;1561;14184;2;0,0061;6;16;10;7;10;0;6;15;10;5
Fensterheber;1561;9339;46;0,1402;4;4;4;4;4;0;4;4;4;2
Fensterheber;1561;6029;4;0,0122;0;0;4;1;2;4;4;0;4;4
Fensterheber;1561;32754;2;0,0061;0;2;2;4;2;0;4;4;4;2
Fensterheber;1561;24547;1;0,003;0;2;4;2;4;0;4;2;2;4
Fensterheber;1561;5676;1;0,003;4;8;14;8;6;0;6;6;10;3
Fensterheber;1561;9041;5;0,0152;6;10;10;7;10;0;6;15;10;5
Fensterheber;1561;16334;1;0,003;2;22;4;10;8;0;10;2;14;2
Fensterheber;1561;16596;1;0,003;4;4;4;4;4;4;4;7;4;4
Fensterheber;1561;34931;1;0,003;0;6;2;12;8;0;3;5;4;2
Fensterheber;1561;17613;1;0,003;2;8;6;8;8;2;7;10;4;4
Fensterheber;1561;10312;8;0,0244;2;2;6;2;4;4;8;4;4;4
Fensterheber;1561;19001;1;0,003;4;4;4;4;4;2;4;8;4;0
Fensterheber;1561;27541;1;0,003;2;4;6;9;4;2;4;10;6;4
Fensterheber;1561;126078;1;0,003;5;8;6;0;2;0;10;2;8;0
Fensterheber;1561;15772;4;0,0122;2;12;10;14;10;0;10;7;16;2
Fensterheber;1561;468;2;0,0061;2;0;8;6;4;0;4;7;4;3
Fensterheber;1561;34263;2;0,0061;4;16;6;4;4;4;8;10;16;2
Fensterheber;1561;12149;1;0,003;0;2;4;0;6;0;6;7;4;0
Fensterheber;1561;9315;1;0,003;6;14;9;10;10;2;14;12;14;2
Fensterheber;1561;24450;1;0,003;4;8;4;8;6;0;7;5;4;2
Fensterheber;1561;15063;1;0,003;4;4;4;6;4;4;5;8;4;4
Fensterheber;1561;23289;1;0,003;0;2;4;8;6;0;8;3;8;0
Fensterheber;1561;22489;2;0,0061;2;4;4;9;4;0;4;6;12;2
Fensterheber;1561;9308;1;0,003;2;4;4;4;0;0;2;0;4;4
Fensterheber;1561;10917;2;0,0061;0;12;4;6;6;0;5;4;6;0
Fensterheber;1561;1318;1;0,003;0;0;2;2;2;0;0;4;2;0
Fensterheber;1561;18614;1;0,003;4;8;6;6;6;2;6;10;6;8
Fensterheber;1561;10350;3;0,0091;0;4;4;3;6;0;2;6;4;0
Fensterheber;1561;18517;1;0,003;1;0;8;2;4;0;4;4;4;2
Fensterheber;1561;9533;1;0,003;4;10;2;4;2;2;10;2;2;4
Fensterheber;1561;113886;1;0,003;2;2;4;0;2;0;2;2;6;2
Fensterheber;1561;58482;1;0,003;0;0;2;0;0;0;0;0;4;2
Fensterheber;1561;119515;1;0,003;0;6;0;1;2;0;7;4;8;0
Fensterheber;1561;27584;10;0,0305;2;4;4;6;4;0;3;6;6;2
Fensterheber;1561;15452;40;0,1219;6;12;8;8;8;2;8;16;8;4
Fensterheber;1561;504;82;0,25;2;6;6;6;6;0;6;8;6;0
Fensterheber;1561;25482;21;0,064;0;0;6;4;4;4;6;8;4;4
Fensterheber;1561;15525;13;0,0396;0;10;0;11;2;0;3;8;4;0
Fensterheber;1561;15910;48;0,1463;5;8;8;4;6;4;8;8;6;4
Fensterheber;1561;15937;3;0,0091;2;8;6;8;6;2;4;6;8;2
Fensterheber;1561;1659;4;0,0122;5;2;8;4;4;0;2;2;6;6
Fensterheber;1561;19051;5;0,0152;2;24;12;19;12;0;16;10;18;6
Fensterheber;1561;4627;2;0,0061;2;6;3;5;6;2;4;7;4;2
Fensterheber;1561;17173;26;0,0793;6;6;2;6;2;4;4;11;2;2
Fensterheber;1561;17393;77;0,2347;2;6;6;8;6;2;6;8;8;2
Fensterheber;1561;5730;33;0,1006;0;0;8;8;6;2;7;8;4;4
Fensterheber;1561;11752;1;0,003;0;6;4;2;2;0;2;4;6;0
Fensterheber;1561;34951;5;0,0152;0;4;4;5;2;0;4;4;2;2
Fensterheber;1561;17204;17;0,0518;0;18;6;8;8;0;12;6;10;4
Fensterheber;1561;19289;112;0,3414;0;18;6;8;7;0;12;6;10;4
Fensterheber;1561;15482;2;0,0061;2;8;6;8;8;2;7;10;4;4
Fensterheber;1561;19579;1;0,003;2;4;6;8;8;0;6;10;8;2
Fensterheber;1561;15914;3;0,0091;0;6;4;4;4;0;4;2;4;2
Fensterheber;1561;18481;4;0,0122;3;8;8;6;4;0;6;5;8;4
Fensterheber;1561;13167;3;0,0091;0;4;0;4;4;0;4;0;2;0
Fensterheber;1561;1872;29;0,0884;2;11;12;14;10;4;12;8;10;6
Fensterheber;1561;19479;6;0,0183;4;4;4;4;4;2;3;3;4;4
Fensterheber;1561;18966;62;0,189;4;4;6;6;4;4;6;14;4;4
Fensterheber;1561;18218;10;0,0305;2;10;10;10;9;0;10;18;9;4
Fensterheber;1561;17892;5;0,0152;2;22;4;10;8;0;10;2;14;2
Fensterheber;1561;10040;2;0,0061;4;6;14;15;16;0;12;24;8;4
Fensterheber;1561;28234;7;0,0213;0;2;2;2;2;0;0;0;2;2
Fensterheber;1561;12472;9;0,0274;2;8;6;4;6;4;6;10;6;4
Fensterheber;1561;24201;7;0,0213;2;12;10;14;10;0;10;7;16;2
Fensterheber;1561;27992;5;0,0152;4;4;4;0;4;0;4;2;4;2
Fensterheber;1561;15480;12;0,0366;2;12;10;10;10;0;10;7;16;2
Fensterheber;1561;15778;2;0,0061;2;6;4;9;7;0;10;8;10;4
Fensterheber;1561;19698;10;0,0305;6;6;12;8;7;6;9;13;12;8
Fensterheber;1561;450;1;0,003;2;6;8;6;6;0;4;7;4;3
Fensterheber;1561;20072;1;0,003;0;4;6;0;0;0;2;0;12;2
Fensterheber;1561;17548;1;0,003;2;14;3;11;10;0;12;10;9;0
Fensterheber;1561;10974;1;0,003;0;6;2;4;2;0;4;3;4;2
Fensterheber;1561;8687;13;0,0396;4;6;4;9;4;4;5;9;4;4
Fensterheber;1561;5626;6;0,0183;0;0;0;12;0;0;6;2;2;0
Fensterheber;1561;19325;1;0,003;0;6;6;8;6;0;8;10;8;2
Fensterheber;1561;19026;8;0,0244;4;8;6;6;6;2;6;10;6;8
Fensterheber;1561;28173;1;0,003;2;4;4;4;4;0;4;2;4;2
Fensterheber;1561;16454;5;0,0152;2;8;6;8;8;2;7;10;4;4
Fensterheber;1561;6850;2;0,0061;0;4;2;8;0;0;4;6;4;0
Fensterheber;1561;18427;1;0,003;4;4;4;4;2;2;4;4;4;4
Fensterheber;1561;28204;20;0,061;3;8;8;6;4;0;6;5;8;4
Fensterheber;1561;23183;5;0,0152;2;22;4;10;8;0;10;2;14;2
Fensterheber;1561;15011;9;0,0274;4;10;6;6;6;4;8;6;6;4
Fensterheber;1561;11424;2;0,0061;0;4;2;12;4;0;6;8;6;2
Fensterheber;1561;17812;9;0,0274;4;4;4;4;4;2;4;7;4;4
Fensterheber;1561;14006;1;0,003;0;4;4;4;2;0;4;6;4;0
Fensterheber;1561;113665;3;0,0091;2;12;0;6;8;0;10;6;8;8
