GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;VAN WEZEL;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;PMM;Ac Rolcar
;Absolut;;44031;;30957;27302;32645;30495;33328;18626;24411;33008;33223;29404
;Prozent;;;;70;62;74;69;76;42;55;75;75;67
1561;Fensterheber;0000051723323;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0000051895385;1;0,0023;0;0;0;0;1;0;0;0;0;0
1561;Fensterheber;0000052130436;1;0,0023;0;0;0;0;1;0;0;0;0;0
1561;Fensterheber;0002684V004000000;1;0,0023;0;0;1;0;0;0;0;0;0;0
1561;Fensterheber;0002691V001;1;0,0023;0;0;1;1;0;0;0;0;0;0
1561;Fensterheber;0002691V001000000;1;0,0023;0;0;0;1;0;0;0;1;0;0
1561;Fensterheber;0002691V002000000;1;0,0023;0;0;0;1;0;0;0;1;0;0
1561;Fensterheber;0002691V003;1;0,0023;0;0;0;1;0;0;0;0;0;0
1561;Fensterheber;0002691V003000000;7;0,0159;0;0;1;1;0;0;0;1;0;0
1561;Fensterheber;0002702V001000000;4;0,0091;0;0;1;1;0;0;0;1;0;0
1561;Fensterheber;0002702V002000000;4;0,0091;0;0;0;1;0;0;0;1;0;0
1561;Fensterheber;0002702V003000000;5;0,0114;0;0;1;1;0;0;0;1;0;0
1561;Fensterheber;0007200079;5;0,0114;1;0;0;0;1;1;0;0;0;0
1561;Fensterheber;0007200179;2;0,0045;1;0;0;0;1;1;0;0;0;0
1561;Fensterheber;0007200246;2;0,0045;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00141801;1;0,0023;0;0;1;1;0;1;1;0;0;1
1561;Fensterheber;00181804;1;0,0023;0;0;1;1;0;0;1;0;0;1
1561;Fensterheber;00191801;3;0,0068;0;0;1;1;0;1;1;0;0;1
1561;Fensterheber;0039892;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0039928;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00611904;1;0,0023;0;0;1;1;0;1;1;1;0;1
1561;Fensterheber;00621901;2;0,0045;0;0;1;1;1;1;0;1;1;0
1561;Fensterheber;00621902;1;0,0023;0;0;1;1;1;1;0;0;1;0
1561;Fensterheber;00643429;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0070944;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0071769766;1;0,0023;0;0;0;0;1;0;0;0;0;0
1561;Fensterheber;0086126;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00SKV186;1;0,0023;0;0;0;1;0;0;0;0;0;0
1561;Fensterheber;00SKV201;1;0,0023;0;0;0;1;0;0;0;0;0;0
1561;Fensterheber;00SKV512;1;0,0023;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;00SKV613;1;0,0023;0;0;0;1;0;0;0;0;0;0
