GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
1561;"2026/2";"West Europe";4721;"MIRAGLIO";"301306";1
1561;"2026/2";"West Europe";4721;"MIRAGLIO";"30978";6
1561;"2026/2";"SEE";36;"VAN WEZEL";"5867261";3
1561;"2026/2";"SEE";301;"TOPRAN";"112878";14
1561;"2026/2";"SEE";355;"DT Spare Parts";"770056";3
1561;"2026/2";"Balkan";301;"TOPRAN";"103100";4
1561;"2026/2";"Germany";21;"VALEO";"850812";62
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"014653";2
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"015052";2
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"017995";2
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"034227";2
1561;"2026/2";"SEE";4720;"PMM";"BI22316L";21
1561;"2026/2";"SEE";4720;"PMM";"BI22324L";46
1561;"2026/2";"SEE";4720;"PMM";"BI24304R";5
1561;"2026/2";"SEE";4720;"PMM";"BI28184L";11
1561;"2026/2";"SEE";4720;"PMM";"BI62134L";4
1561;"2026/2";"EEU";95;"MAGNETI MARELLI";"350103170169";3
1561;"2026/2";"Germany";36;"VAN WEZEL";"3750262";9
1561;"2026/2";"Germany";36;"VAN WEZEL";"5776262";480
1561;"2026/2";"Germany";94;"METZGER AUTOTEILE";"2160689";84
1561;"2026/2";"Germany";162;"VAICO";"V106896";17
1561;"2026/2";"Germany";36;"VAN WEZEL";"5888261";98
1561;"2026/2";"Germany";95;"MAGNETI MARELLI";"350103194600";1
1561;"2026/2";"Croatia";36;"VAN WEZEL";"0633261";6
1561;"2026/2";"Croatia";4389;"MAX";"WBM110L";30
1561;"2026/2";"Croatia";4389;"MAX";"WFT203L";7
1561;"2026/2";"Croatia";4389;"MAX";"WRN105L";13
1561;"2026/2";"Croatia";4389;"MAX";"WRN170L";3
1561;"2026/2";"Croatia";4389;"MAX";"WVW155R";1
1561;"2026/2";"Croatia";6558;"AIC";"53265";1
1561;"2026/2";"Germany";36;"VAN WEZEL";"2910263";23
1561;"2026/2";"SEE";101;"FEBI BILSTEIN";"176300";15
1561;"2026/2";"SEE";4720;"PMM";"BI22324R";16
1561;"2026/2";"Germany";21;"VALEO";"861238";2
1561;"2026/2";"Germany";36;"VAN WEZEL";"0657264";158
1561;"2026/2";"Germany";36;"VAN WEZEL";"5827266";116
1561;"2026/2";"Germany";4202;"BINDER";"72252131";1
1561;"2026/2";"Germany";4364;"ACKOJA";"A520891";39
1561;"2026/2";"Germany";4585;"DOGA";"100010";2
1561;"2026/2";"SEE";4353;"DPA";"88371823602";2
1561;"2026/2";"Croatia";403;"MAXGEAR";"280203";2
1561;"2026/2";"Croatia";403;"MAXGEAR";"500118";1
1561;"2026/2";"Croatia";4849;"Ac Rolcar";"017715";5
1561;"2026/2";"Germany";101;"FEBI BILSTEIN";"26909";2
1561;"2026/2";"Germany";301;"TOPRAN";"103099";8
1561;"2026/2";"Germany";403;"MAXGEAR";"280273";30
1561;"2026/2";"Germany";403;"MAXGEAR";"500204";11
1561;"2026/2";"Germany";403;"MAXGEAR";"500244";1
1561;"2026/2";"Germany";403;"MAXGEAR";"500350";7
1561;"2026/2";"Germany";403;"MAXGEAR";"500400";1
1561;"2026/2";"Germany";403;"MAXGEAR";"500416";4
1561;"2026/2";"Germany";403;"MAXGEAR";"500807";4
1561;"2026/2";"Germany";403;"MAXGEAR";"500838";5
1561;"2026/2";"Germany";4585;"DOGA";"100856";1
1561;"2026/2";"Germany";4585;"DOGA";"101697";6
1561;"2026/2";"Germany";4585;"DOGA";"102170";4
1561;"2026/2";"Germany";4585;"DOGA";"102186";1
1561;"2026/2";"Germany";4849;"Ac Rolcar";"017983";4
1561;"2026/2";"N";403;"MAXGEAR";"500118";1
1561;"2026/2";"Germany";36;"VAN WEZEL";"1873263";30
1561;"2026/2";"Germany";36;"VAN WEZEL";"2910264";36
1561;"2026/2";"Germany";36;"VAN WEZEL";"4348267";9
1561;"2026/2";"Germany";36;"VAN WEZEL";"4917270";5
1561;"2026/2";"Germany";36;"VAN WEZEL";"5880267";20
1561;"2026/2";"Germany";36;"VAN WEZEL";"5883267";21
1561;"2026/2";"Germany";36;"VAN WEZEL";"5888266";16
1561;"2026/2";"Germany";36;"VAN WEZEL";"5894262";128
1561;"2026/2";"Germany";94;"METZGER AUTOTEILE";"2160125";4
1561;"2026/2";"B";403;"MAXGEAR";"500471";5
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"018411";1
1561;"2026/2";"West Europe";4585;"DOGA";"100305";9
1561;"2026/2";"West Europe";4585;"DOGA";"100555";4
1561;"2026/2";"West Europe";4585;"DOGA";"100637";10
1561;"2026/2";"West Europe";4585;"DOGA";"101555";17
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"012484";1
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"012607";1
1561;"2026/2";"EEU";403;"MAXGEAR";"500313";20
1561;"2026/2";"EEU";403;"MAXGEAR";"500816";10
1561;"2026/2";"Croatia";4389;"MAX";"WFT262R";2
1561;"2026/2";"West Europe";94;"METZGER AUTOTEILE";"2160689";1
1561;"2026/2";"SEE";4720;"PMM";"BI18182L";4
1561;"2026/2";"West Europe";403;"MAXGEAR";"500245";14
1561;"2026/2";"West Europe";403;"MAXGEAR";"500246";11
1561;"2026/2";"West Europe";403;"MAXGEAR";"500306";9
1561;"2026/2";"West Europe";403;"MAXGEAR";"500420";2
1561;"2026/2";"West Europe";403;"MAXGEAR";"500434";1
1561;"2026/2";"West Europe";403;"MAXGEAR";"500445";8
1561;"2026/2";"West Europe";403;"MAXGEAR";"500847";13
1561;"2026/2";"Austria";95;"MAGNETI MARELLI";"350103147600";1
1561;"2026/2";"Austria";95;"MAGNETI MARELLI";"350103428000";1
1561;"2026/2";"West Europe";403;"MAXGEAR";"500787";30
1561;"2026/2";"Croatia";6558;"AIC";"72720";4
1561;"2026/2";"West Europe";403;"MAXGEAR";"500845";8
1561;"2026/2";"West Europe";403;"MAXGEAR";"500846";4
1561;"2026/2";"West Europe";4585;"DOGA";"100231";5
1561;"2026/2";"West Europe";4585;"DOGA";"100306";3
1561;"2026/2";"West Europe";4585;"DOGA";"100603";8
1561;"2026/2";"West Europe";4585;"DOGA";"100639";5
1561;"2026/2";"West Europe";4585;"DOGA";"101033";2
1561;"2026/2";"West Europe";4585;"DOGA";"101058";1
1561;"2026/2";"West Europe";4585;"DOGA";"101556";9
1561;"2026/2";"West Europe";4585;"DOGA";"101710";30
1561;"2026/2";"West Europe";4585;"DOGA";"102170";1
1561;"2026/2";"West Europe";4585;"DOGA";"102980";1
1561;"2026/2";"West Europe";4849;"Ac Rolcar";"018064";1
1561;"2026/2";"Nordic";403;"MAXGEAR";"500198";2
1561;"2026/2";"SEE";4720;"PMM";"BI22234L";45
1561;"2026/2";"SEE";4720;"PMM";"BI76124L";8
1561;"2026/2";"Nordic";4849;"Ac Rolcar";"018357";2
1561;"2026/2";"Nordic";4849;"Ac Rolcar";"034227";1
1561;"2026/2";"West Europe";4585;"DOGA";"101464";4
1561;"2026/2";"Germany";94;"METZGER AUTOTEILE";"2160419";1
1561;"2026/2";"B";21;"VALEO";"851013";1
1561;"2026/2";"B";101;"FEBI BILSTEIN";"175796";3
1561;"2026/2";"B";101;"FEBI BILSTEIN";"176487";10
1561;"2026/2";"Nordic";403;"MAXGEAR";"500847";3
1561;"2026/2";"Nordic";4849;"Ac Rolcar";"018030";1
1561;"2026/2";"Nordic";4849;"Ac Rolcar";"018196";1
1561;"2026/2";"Slovenia";95;"MAGNETI MARELLI";"350103187500";6
1561;"2026/2";"Slovenia";4389;"MAX";"WCT120L";3
1561;"2026/2";"Slovenia";4389;"MAX";"WCT123L";6
1561;"2026/2";"Slovenia";4389;"MAX";"WFT262L";1
1561;"2026/2";"Slovenia";4389;"MAX";"WME162L";2
1561;"2026/2";"Slovenia";4389;"MAX";"WVW153L";2
1561;"2026/2";"Balkan";403;"MAXGEAR";"500206";1
1561;"2026/2";"West Europe";95;"MAGNETI MARELLI";"350103161100";3
1561;"2026/2";"West Europe";95;"MAGNETI MARELLI";"350103170226";1
1561;"2026/2";"West Europe";101;"FEBI BILSTEIN";"179305";8
1561;"2026/2";"West Europe";301;"TOPRAN";"103099";2
1561;"2026/2";"West Europe";403;"MAXGEAR";"500193";1
1561;"2026/2";"West Europe";403;"MAXGEAR";"500214";6
1561;"2026/2";"West Europe";403;"MAXGEAR";"500280";2
1561;"2026/2";"West Europe";403;"MAXGEAR";"500292";13
1561;"2026/2";"West Europe";403;"MAXGEAR";"500480";1
1561;"2026/2";"SEE";36;"VAN WEZEL";"0903266";3
1561;"2026/2";"SEE";4720;"PMM";"BI19064L";11
1561;"2026/2";"SEE";4720;"PMM";"BI28074L";12
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60803050";10
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60803060";14
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60804200";6
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60804550";5
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60809290";12
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60809410";4
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60809900";3
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60809940";2
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60810150";13
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60810950";1
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60812040";3
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60817110";7
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60818540";17
1561;"2026/2";"Spain";35;"LEMFÖRDER";"60818720";6
1561;"2026/2";"Spain";35;"LEMFÖRDER";"63421030";10
1561;"2026/2";"Spain";35;"LEMFÖRDER";"64091870";12
1561;"2026/2";"Spain";35;"LEMFÖRDER";"65803760";2
1561;"2026/2";"Germany";36;"VAN WEZEL";"1828262";2
