GENART_DESC;GENARTNR;TYPENR;BSK_POS;ART_CNT;KHER;KMOD;KW;BJVON;BJBIS;PS;CCMTECH
"Fensterheber";1561;1;5;11;"OPEL";"CORSA D (S07)";66;200607;201408;90;1364
"Fensterheber";1561;49;2;4;"BMW";"3 (E36)";73;199103;199308;100;1596
"Fensterheber";1561;50;6;4;"BMW";"3 (E36)";75;199309;199805;102;1596
"Fensterheber";1561;51;1;4;"BMW";"3 (E36)";83;199009;199308;113;1796
"Fensterheber";1561;54;4;4;"BMW";"3 (E36)";110;199101;199802;150;1990
"Fensterheber";1561;55;3;4;"BMW";"3 Coupe (E36)";110;199112;199811;150;1990
"Fensterheber";1561;302;4;4;"BMW";"3 Cabriolet (E36)";110;199312;199911;150;1990
"Fensterheber";1561;303;1;4;"BMW";"3 Cabriolet (E36)";141;199303;199508;192;2494
"Fensterheber";1561;309;7;6;"MERCEDES-BENZ";"190 (W201)";80;199004;199308;109;1797
"Fensterheber";1561;310;1;6;"MERCEDES-BENZ";"190 (W201)";66;198210;198410;90;1996
"Fensterheber";1561;317;2;4;"VW";"PASSAT B7 Variant (365)";90;201008;201412;122;1390
"Fensterheber";1561;318;1;6;"MERCEDES-BENZ";"190 (W201)";87;198501;199308;118;1996
"Fensterheber";1561;319;6;6;"MERCEDES-BENZ";"190 (W201)";90;198210;199306;122;1996
"Fensterheber";1561;327;2;4;"VW";"PASSAT B7 Variant (365)";77;201008;201412;105;1598
"Fensterheber";1561;348;2;6;"MERCEDES-BENZ";"190 (W201)";53;198308;198908;72;1997
"Fensterheber";1561;349;2;6;"MERCEDES-BENZ";"190 (W201)";55;198908;199308;75;1997
"Fensterheber";1561;350;1;6;"MERCEDES-BENZ";"190 (W201)";66;198504;199308;90;2497
"Fensterheber";1561;356;10;4;"VW";"PASSAT B7 Variant (365)";103;201008;201412;140;1968
"Fensterheber";1561;370;17;4;"RENAULT";"MEGANE III Grandtour (KZ0/1)";78;200902;;106;1461
"Fensterheber";1561;371;3;4;"RENAULT";"MEGANE III Schrägheck (BZ0/1_, B3_)";78;200902;;106;1461
"Fensterheber";1561;434;5;8;"CITROËN";"C4 II (NC_)";88;200911;201612;120;1598
"Fensterheber";1561;439;2;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";97;198412;199203;132;2298
"Fensterheber";1561;442;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";118;198509;199208;160;2597
"Fensterheber";1561;446;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";132;198508;199208;180;2960
"Fensterheber";1561;450;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";53;198412;198908;72;1997
"Fensterheber";1561;451;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";55;198908;199306;75;1997
"Fensterheber";1561;455;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";93;198809;199306;126;2497
"Fensterheber";1561;458;2;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";81;199006;199306;110;2996
"Fensterheber";1561;463;10;8;"CITROËN";"C4 II (NC_)";70;200911;;95;1397
"Fensterheber";1561;465;1;4;"MERCEDES-BENZ";"124 Stufenheck (W124)";108;198809;199306;147;2996
"Fensterheber";1561;468;2;4;"MERCEDES-BENZ";"E-CLASS (W124)";100;199306;199506;136;1998
"Fensterheber";1561;469;2;4;"MERCEDES-BENZ";"E-CLASS (W124)";110;199306;199506;150;2199
"Fensterheber";1561;470;9;8;"CITROËN";"C4 II (NC_)";68;200911;;92;1560
"Fensterheber";1561;472;4;8;"CITROËN";"C4 II (NC_)";82;200911;;112;1560
"Fensterheber";1561;503;1;4;"CHEVROLET";"MATIZ (M200, M250)";49;200503;201103;67;995
"Fensterheber";1561;504;79;6;"FIAT";"PANDA (169_)";51;201003;201308;69;1242
"Fensterheber";1561;507;4;0;"MERCEDES-BENZ";"E-CLASS T-Model (S124)";100;199306;199606;136;1998
"Fensterheber";1561;508;1;0;"MERCEDES-BENZ";"E-CLASS T-Model (S124)";110;199306;199606;150;2199
"Fensterheber";1561;514;1;0;"MERCEDES-BENZ";"E-CLASS T-Model (S124)";162;199306;199606;220;3199
"Fensterheber";1561;518;3;0;"MERCEDES-BENZ";"E-CLASS T-Model (S124)";142;199306;199606;193;2799
"Fensterheber";1561;519;20;4;"SEAT";"ALHAMBRA (710, 711)";110;201006;201504;150;1390
"Fensterheber";1561;520;96;4;"SEAT";"ALHAMBRA (710, 711)";103;201006;;140;1968
"Fensterheber";1561;521;11;4;"SEAT";"ALHAMBRA (710, 711)";125;201006;201302;170;1968
"Fensterheber";1561;523;1;3;"SEAT";"IBIZA IV (6J5, 6P1)";44;200907;201105;60;1198
"Fensterheber";1561;525;1;0;"MERCEDES-BENZ";"S-CLASS Stufenheck (W108, W109)";103;196710;197207;140;2780
"Fensterheber";1561;684;1;0;"MERCEDES-BENZ";"S-CLASS (W126)";132;198601;199106;180;2960
"Fensterheber";1561;692;1;0;"MERCEDES-BENZ";"S-CLASS (W126)";150;198110;198508;204;3839
"Fensterheber";1561;704;1;8;"PEUGEOT";"508 SW I (8E_)";88;201011;201812;120;1598
"Fensterheber";1561;711;6;8;"PEUGEOT";"508 I (8D_)";115;201011;201812;156;1598
"Fensterheber";1561;712;11;8;"PEUGEOT";"508 SW I (8E_)";115;201011;201812;156;1598
"Fensterheber";1561;713;8;8;"PEUGEOT";"508 I (8D_)";82;201011;201812;112;1560
"Fensterheber";1561;714;16;8;"PEUGEOT";"508 SW I (8E_)";82;201011;201812;112;1560
"Fensterheber";1561;717;17;8;"PEUGEOT";"508 I (8D_)";103;201011;201812;140;1997
"Fensterheber";1561;730;27;8;"PEUGEOT";"508 SW I (8E_)";103;201011;201812;140;1997
"Fensterheber";1561;731;18;8;"PEUGEOT";"508 I (8D_)";120;201011;201812;163;1997
"Fensterheber";1561;732;60;8;"PEUGEOT";"508 SW I (8E_)";120;201011;201812;163;1997
"Fensterheber";1561;733;13;8;"PEUGEOT";"508 I (8D_)";150;201011;201812;204;2179
"Fensterheber";1561;754;23;8;"PEUGEOT";"508 SW I (8E_)";150;201011;201812;204;2179
"Fensterheber";1561;850;1;4;"OPEL";"ASTRA J Caravan (P10)";74;201010;201510;101;1398
"Fensterheber";1561;884;1;4;"OPEL";"ASTRA J Caravan (P10)";88;201010;201510;120;1364
"Fensterheber";1561;908;2;4;"OPEL";"ASTRA J Caravan (P10)";103;201010;201510;140;1364
"Fensterheber";1561;952;8;0;"MERCEDES-BENZ";"S-CLASS (W140)";170;199103;199810;231;3199
"Fensterheber";1561;953;1;0;"MERCEDES-BENZ";"S-CLASS (W140)";205;199301;199810;279;4196
"Fensterheber";1561;955;5;0;"MERCEDES-BENZ";"S-CLASS (W140)";235;199301;199810;320;4973
"Fensterheber";1561;966;1;8;"MERCEDES-BENZ";"C-CLASS (W202)";90;199303;200005;122;1799
"Fensterheber";1561;967;1;8;"MERCEDES-BENZ";"C-CLASS (W202)";110;199303;200005;150;2199
"Fensterheber";1561;1021;2;4;"OPEL";"ASTRA J Caravan (P10)";92;201010;201510;125;1686
"Fensterheber";1561;1046;1;10;"FIAT";"DOBLO Cargo (263_)";77;201002;;105;1598
"Fensterheber";1561;1051;1;10;"FIAT";"DOBLO Bus (263_)";66;201002;;90;1598
"Fensterheber";1561;1052;5;4;"ABARTH";"500 / 595 / 695";132;200808;;180;1368
"Fensterheber";1561;1053;1;4;"ABARTH";"500 / 595 / 695";140;200808;;190;1368
"Fensterheber";1561;1054;1;4;"ABARTH";"500C / 595C / 695C";103;200909;;140;1368
"Fensterheber";1561;1060;1;0;"ABARTH";"PUNTO";120;201203;;163;1368
"Fensterheber";1561;1068;1;0;"AUDI";"80 B2 Stufenheck (811, 813, 814, 819, 853)";66;198301;198608;90;1781
"Fensterheber";1561;1071;1;4;"FORD";"FIESTA III (GFJ)";40;198903;199512;55;1119
"Fensterheber";1561;1075;1;4;"FORD";"FIESTA III (GFJ)";37;198903;199512;50;1119
"Fensterheber";1561;1078;1;4;"FORD";"FIESTA III (GFJ)";44;199105;199701;60;1299
"Fensterheber";1561;1087;1;4;"FORD";"ESCORT V (AAL, ABL)";44;199007;199501;60;1299
"Fensterheber";1561;1310;1;0;"AUDI";"100 C3 Stufenheck (443, 444)";66;198503;199011;90;1781
"Fensterheber";1561;1318;1;0;"AUDI";"100 C3 Stufenheck (443, 444)";121;198608;199011;165;2226
"Fensterheber";1561;1380;1;2;"AUDI";"100 C4 Stufenheck (4A2)";85;199012;199407;115;2461
"Fensterheber";1561;1418;2;0;"AUDI";"100 C3 Avant (445, 446)";66;198308;198907;90;1781
"Fensterheber";1561;1429;2;0;"AUDI";"100 C3 Avant (445, 446)";88;199001;199011;120;2461
"Fensterheber";1561;1491;3;6;"FIAT";"PANDA (169_)";57;201009;201308;78;1368
"Fensterheber";1561;1495;7;4;"RENAULT";"MEGANE III Schrägheck (BZ0/1_, B3_)";63;200811;;86;1461
"Fensterheber";1561;1498;2;6;"FIAT";"PANDA (169_)";55;201009;201308;75;1248
"Fensterheber";1561;1500;12;4;"FIAT";"500 C (312_)";63;200909;;86;875
"Fensterheber";1561;1553;6;6;"FIAT";"PANDA (169_)";51;201004;201308;69;1242
"Fensterheber";1561;1604;2;0;"VW";"POLO II (86C, 80)";40;198707;199409;55;1272
"Fensterheber";1561;1605;1;0;"VW";"POLO II (86C, 80)";33;198908;199409;45;1043
"Fensterheber";1561;1620;1;3;"NISSAN";"NP300 NAVARA (D40)";170;201002;;231;2993
"Fensterheber";1561;1625;2;0;"VW";"GOLF I (17)";81;197608;198207;110;1588
"Fensterheber";1561;1644;2;1;"VW";"GOLF II (19E, 1G1)";40;198308;198706;55;1272
"Fensterheber";1561;1645;12;2;"VW";"GOLF II (19E, 1G1)";51;198610;199212;70;1595
"Fensterheber";1561;1646;2;2;"VW";"GOLF II (19E, 1G1)";53;198602;199110;72;1595
"Fensterheber";1561;1647;5;2;"VW";"GOLF II (19E, 1G1)";55;198308;199207;75;1595
"Fensterheber";1561;1649;1;2;"VW";"GOLF II (19E, 1G1)";62;198608;199001;84;1781
"Fensterheber";1561;1651;16;2;"VW";"GOLF II (19E, 1G1)";66;198708;199110;90;1781
"Fensterheber";1561;1653;4;2;"VW";"GOLF II (19E, 1G1)";79;198701;199110;107;1781
"Fensterheber";1561;1654;5;2;"VW";"GOLF II (19E, 1G1)";82;198308;199110;112;1781
"Fensterheber";1561;1658;23;2;"VW";"GOLF II (19E, 1G1)";40;198308;199110;54;1588
"Fensterheber";1561;1659;3;2;"VW";"GOLF II (19E, 1G1)";51;198308;199110;70;1588
"Fensterheber";1561;1660;1;2;"VW";"GOLF II (19E, 1G1)";59;198904;199110;80;1588
"Fensterheber";1561;1662;7;2;"VW";"GOLF II (19E, 1G1)";44;198908;199110;60;1588
"Fensterheber";1561;1673;4;4;"VW";"JETTA II (19E, 1G2, 165)";40;198401;199110;54;1588
"Fensterheber";1561;1699;1;0;"VW";"PASSAT B2 (32B)";66;198301;198803;90;1781
"Fensterheber";1561;1713;1;3;"VW";"PASSAT B3/B4 (3A2, 35I)";59;198808;199309;80;1588
"Fensterheber";1561;1716;1;3;"VW";"PASSAT B3/B4 (3A2, 35I)";66;199310;199608;90;1896
