GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;SACHS;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BorgWarner;BLUE PRINT;EXEDY;RYMEC;Schaeffler LuK
;Absolut;;182928;;145361;147238;60001;72557;111394;0;121644;91895;136287;151623
;Prozent;;;;79;80;33;40;61;0;66;50;74;83
479;Kupplungssatz;000000000020686031;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0000071794918;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;000170800;1;0,0005;0;0;0;1;1;0;1;0;0;0
479;Kupplungssatz;000210409;2;0,0011;1;0;0;0;1;0;1;0;0;0
479;Kupplungssatz;000210809;2;0,0011;1;0;0;0;1;0;1;0;0;0
479;Kupplungssatz;000228200;1;0,0005;0;0;1;0;1;0;1;0;1;0
479;Kupplungssatz;000228300;1;0,0005;0;0;0;0;1;0;1;0;0;0
479;Kupplungssatz;0002500400;1;0,0005;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;0002500900;24;0,0131;0;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0002501000;3;0,0016;0;1;0;0;0;0;0;1;0;1
479;Kupplungssatz;0002506215;2;0,0011;0;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;0002520705;1;0,0005;0;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002521511;1;0,0005;0;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002523311;1;0,0005;0;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002525205;1;0,0005;1;0;0;0;0;0;1;0;1;1
479;Kupplungssatz;0002525905;1;0,0005;0;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0002527711;1;0,0005;0;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002541608;1;0,0005;1;1;0;0;1;0;1;1;1;1
479;Kupplungssatz;0002542508;3;0,0016;1;1;0;0;1;0;1;1;1;1
479;Kupplungssatz;0003231V012000000;1;0,0005;1;1;0;1;0;0;0;0;0;0
479;Kupplungssatz;0003231V016000000;1;0,0005;1;1;0;1;0;0;0;0;0;0
479;Kupplungssatz;0009856V002000000;3;0,0016;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;001210009;1;0,0005;1;0;0;0;1;0;1;0;0;0
479;Kupplungssatz;001210200;1;0,0005;0;0;0;0;0;0;1;0;0;0
479;Kupplungssatz;001228600;1;0,0005;0;0;0;0;0;0;1;0;0;0
479;Kupplungssatz;001228620;1;0,0005;0;0;0;0;1;0;1;0;1;0
479;Kupplungssatz;0012523905;1;0,0005;1;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;0012525805;2;0,0011;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0012527105;3;0,0016;1;1;0;0;0;0;1;0;1;1
479;Kupplungssatz;001541;4;0,0022;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;002141170;4;0,0022;1;1;0;0;0;0;1;0;1;1
479;Kupplungssatz;002180700;1;0,0005;1;0;0;0;1;0;0;0;0;0
479;Kupplungssatz;002180800;2;0,0011;1;0;1;0;1;0;1;0;1;0
479;Kupplungssatz;002180900;2;0,0011;0;0;0;0;1;0;1;0;0;0
479;Kupplungssatz;002190109;1;0,0005;1;0;0;0;0;0;1;0;0;0
479;Kupplungssatz;002200009;3;0,0016;1;0;0;0;1;0;1;0;0;0
479;Kupplungssatz;0022501815;3;0,0016;1;1;0;0;0;0;1;0;1;1
479;Kupplungssatz;003180009;1;0,0005;0;0;1;0;1;0;1;0;0;0
479;Kupplungssatz;003180300;2;0,0011;1;0;0;0;0;0;1;0;0;0
479;Kupplungssatz;003180800;1;0,0005;1;0;0;0;1;0;1;0;1;0
