GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);Schaeffler LuK;VALEO;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BLUE PRINT;EXEDY;WESTLAKE;RYMEC;SACHS
;Absolut;;207293;;171492;164183;66662;81644;126091;136847;103566;89630;153218;166785
;Prozent;;;;83;79;32;39;61;66;50;43;74;80
479;Kupplungssatz;0000071794918;1;0,0005;0;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;000141165;4;0,0019;1;1;0;0;0;1;0;1;1;1
479;Kupplungssatz;000170400;1;0,0005;0;1;0;0;1;1;0;1;1;0
479;Kupplungssatz;000170800;4;0,0019;0;0;0;1;1;1;0;0;0;0
479;Kupplungssatz;000228200;1;0,0005;0;0;1;0;1;1;0;0;1;0
479;Kupplungssatz;000228300;3;0,0014;0;0;0;0;1;1;0;0;0;0
479;Kupplungssatz;000228409;1;0,0005;0;0;0;0;0;1;0;0;0;0
479;Kupplungssatz;0002500500;7;0,0034;0;0;0;0;0;0;1;0;1;1
479;Kupplungssatz;0002500900;24;0,0116;1;0;0;0;0;0;1;0;1;1
479;Kupplungssatz;0002501000;6;0,0029;1;0;0;0;0;0;1;0;0;1
479;Kupplungssatz;0002506115;1;0,0005;1;0;0;0;0;1;0;0;0;1
479;Kupplungssatz;0002522905;1;0,0005;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002523311;2;0,001;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002525205;3;0,0014;1;1;0;0;0;1;0;0;1;0
479;Kupplungssatz;0002525805;2;0,001;1;0;0;0;0;0;1;0;1;0
479;Kupplungssatz;0002526105;1;0,0005;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002527605;1;0,0005;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002527705;1;0,0005;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002527911;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0002542508;3;0,0014;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;0002544108;1;0,0005;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0002545208;1;0,0005;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;0009855V001000000;2;0,001;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;001210009;1;0,0005;0;1;0;0;1;1;0;0;0;0
479;Kupplungssatz;001220000;1;0,0005;0;0;0;0;0;1;0;0;1;0
479;Kupplungssatz;001225409;1;0,0005;0;1;1;0;1;1;0;1;0;0
479;Kupplungssatz;001228620;1;0,0005;0;0;0;0;1;1;0;1;1;0
479;Kupplungssatz;001228800;1;0,0005;0;0;0;0;1;1;0;0;0;0
479;Kupplungssatz;001235400;1;0,0005;0;1;1;0;1;1;0;0;1;0
479;Kupplungssatz;001240509;1;0,0005;0;0;0;0;1;1;0;0;1;0
479;Kupplungssatz;0012500115;1;0,0005;1;0;0;0;0;1;1;1;1;1
479;Kupplungssatz;0012502515;1;0,0005;1;0;0;0;0;1;1;1;1;1
479;Kupplungssatz;0012509315;1;0,0005;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;0012521905;1;0,0005;1;0;0;0;0;1;0;0;1;1
479;Kupplungssatz;0012523905;3;0,0014;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;001270943;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;001541;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;001904760;1;0,0005;0;0;0;0;0;1;0;0;0;0
479;Kupplungssatz;002141165C;2;0,001;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;002180900;3;0,0014;0;0;0;0;1;1;0;0;0;0
479;Kupplungssatz;002200009;10;0,0048;0;1;0;0;1;1;0;1;0;0
479;Kupplungssatz;002220909;1;0,0005;0;1;0;0;1;1;0;0;0;0
479;Kupplungssatz;003190200;1;0,0005;0;0;0;0;0;1;0;0;0;0
479;Kupplungssatz;003200200;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;003200400;2;0,001;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;003215200;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;003215600;1;0,0005;0;0;1;0;1;1;0;0;1;0
479;Kupplungssatz;003215800;1;0,0005;0;0;0;0;0;1;0;0;1;0
479;Kupplungssatz;003215909;1;0,0005;0;1;1;0;1;1;0;1;1;0
479;Kupplungssatz;0032502115;1;0,0005;1;0;0;0;0;0;0;1;1;1
479;Kupplungssatz;0032502204;2;0,001;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;003344;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;003348;1;0,0005;1;1;0;0;0;0;0;1;0;1
479;Kupplungssatz;003387;2;0,001;0;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;003388;5;0,0024;1;1;0;0;1;1;1;1;0;1
479;Kupplungssatz;003414;1;0,0005;0;1;0;1;0;0;0;0;0;1
479;Kupplungssatz;003430;2;0,001;0;1;0;1;1;1;0;1;0;1
479;Kupplungssatz;003433;12;0,0058;1;1;0;0;1;1;0;1;0;1
479;Kupplungssatz;003436;3;0,0014;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;003495;12;0,0058;1;1;0;1;1;0;1;1;0;1
479;Kupplungssatz;003498;1;0,0005;1;1;0;0;1;0;0;1;0;1
479;Kupplungssatz;004180200;4;0,0019;0;1;0;0;1;1;0;0;1;0
479;Kupplungssatz;004190509;1;0,0005;0;1;0;1;1;1;0;0;0;0
479;Kupplungssatz;004200600;1;0,0005;0;1;0;0;1;1;0;0;0;0
479;Kupplungssatz;004220309;1;0,0005;0;1;0;0;0;1;0;0;0;0
479;Kupplungssatz;004228009;1;0,0005;0;0;0;0;1;1;0;0;0;0
479;Kupplungssatz;004228300;1;0,0005;0;0;0;0;0;1;0;0;1;0
479;Kupplungssatz;004228409;2;0,001;0;1;0;0;1;1;0;0;1;0
479;Kupplungssatz;004228800;1;0,0005;0;1;0;0;1;1;0;0;1;0
479;Kupplungssatz;004240529;1;0,0005;0;0;0;0;1;0;0;1;0;0
479;Kupplungssatz;0042501904;4;0,0019;1;0;0;0;0;1;0;0;0;1
479;Kupplungssatz;0042504904;1;0,0005;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;00502666;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0050878;6;0,0029;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;005215300;1;0,0005;0;1;0;0;1;1;0;1;1;0
479;Kupplungssatz;0052883;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;005575;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0055837;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0057096;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0057509;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0057800;6;0,0029;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0060055;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0060453;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0060814061;2;0,001;0;1;0;1;0;0;0;1;0;0
479;Kupplungssatz;006180700;1;0,0005;0;1;0;0;1;1;0;1;0;0
479;Kupplungssatz;006190500;1;0,0005;0;1;0;0;0;1;0;0;0;0
479;Kupplungssatz;006200109;1;0,0005;0;0;1;0;1;1;0;0;1;0
479;Kupplungssatz;006200600;2;0,001;0;1;0;0;1;1;0;1;1;0
479;Kupplungssatz;0063259;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063261;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063268;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063274;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063948;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0064139;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0066137;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0067021;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;006731;1;0,0005;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;0067422;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0067425;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;006745;1;0,0005;1;1;0;0;1;1;1;1;0;1
479;Kupplungssatz;006775;1;0,0005;0;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;0067989;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;006804;1;0,0005;1;1;0;1;0;1;1;1;0;1
479;Kupplungssatz;0069990;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0071713150;1;0,0005;0;1;0;1;0;0;0;1;0;0
479;Kupplungssatz;007200400;1;0,0005;0;1;0;0;1;1;0;1;1;0
