GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;HERTH+BUSS JAKOPARTS;WESTLAKE;RYMEC;SACHS
Absolut;;;162805;;138974;159622;137487;154235;155232;98431;116868;110323;145275;156318
Prozent;;;;;85;98;84;95;95;60;72;68;89;96
Kupplungssatz;479;1940;102;0,0627;2;3;1;1;3;2;1;0;1;2
Kupplungssatz;479;107892;133;0,0817;3;3;2;3;6;0;2;0;5;4
Kupplungssatz;479;370;42;0,0258;7;4;2;3;6;3;3;4;5;4
Kupplungssatz;479;120218;25;0,0154;2;1;1;1;1;1;1;0;1;1
Kupplungssatz;479;17783;68;0,0418;6;6;8;6;6;3;2;6;7;7
Kupplungssatz;479;29566;85;0,0522;5;7;4;5;7;0;3;1;2;3
Kupplungssatz;479;16137;1;0,0006;2;2;1;1;2;0;0;1;1;1
Kupplungssatz;479;24523;37;0,0227;1;2;1;1;3;1;1;2;2;2
Kupplungssatz;479;1046;61;0,0375;4;4;1;4;5;3;3;2;3;4
Kupplungssatz;479;23376;12;0,0074;7;6;2;4;7;3;3;4;5;4
Kupplungssatz;479;27565;2;0,0012;0;0;1;0;0;0;0;0;0;0
Kupplungssatz;479;107514;4;0,0025;2;5;4;4;3;0;1;2;2;8
Kupplungssatz;479;19592;4;0,0025;0;2;3;2;2;0;0;0;0;2
Kupplungssatz;479;29948;28;0,0172;4;4;3;2;4;1;2;2;2;5
Kupplungssatz;479;59730;30;0,0184;4;6;5;3;8;1;0;3;8;8
Kupplungssatz;479;7606;77;0,0473;3;3;3;2;4;0;1;3;3;3
Kupplungssatz;479;113668;12;0,0074;2;1;1;1;4;1;1;1;1;1
Kupplungssatz;479;110763;14;0,0086;1;2;1;2;5;1;1;1;0;2
Kupplungssatz;479;23500;16;0,0098;3;2;2;2;3;1;2;3;2;4
Kupplungssatz;479;15938;9;0,0055;1;4;2;1;2;1;1;2;1;2
Kupplungssatz;479;114212;9;0,0055;3;3;2;1;6;2;1;1;1;4
Kupplungssatz;479;33356;2;0,0012;3;5;0;1;4;2;1;1;3;4
Kupplungssatz;479;1,06000327E+11;1;0,0006;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;19444;142;0,0872;2;4;3;3;10;0;1;5;7;6
Kupplungssatz;479;10955;12;0,0074;0;2;0;0;3;0;0;0;2;1
Kupplungssatz;479;58770;7;0,0043;1;1;1;1;4;1;1;2;1;2
Kupplungssatz;479;33059;83;0,051;4;4;4;4;6;1;3;3;4;4
Kupplungssatz;479;9810;18;0,0111;2;4;2;1;2;1;1;2;1;1
Kupplungssatz;479;19157;3;0,0018;1;1;0;1;3;2;1;1;0;0
Kupplungssatz;479;7909;48;0,0295;3;8;8;5;15;3;2;5;7;7
Kupplungssatz;479;434;13;0,008;0;2;1;1;1;0;0;1;1;1
Kupplungssatz;479;16631;2;0,0012;0;4;0;6;1;0;0;0;2;2
Kupplungssatz;479;121229;2;0,0012;2;0;0;2;2;0;1;0;2;2
Kupplungssatz;479;16509;6;0,0037;1;1;1;1;2;1;1;2;1;1
Kupplungssatz;479;137711;6;0,0037;0;3;0;0;5;0;0;0;0;3
Kupplungssatz;479;34291;4;0,0025;2;4;0;1;3;0;0;1;3;3
Kupplungssatz;479;130184;11;0,0068;2;3;0;2;7;1;2;2;0;3
Kupplungssatz;479;128190;16;0,0098;4;9;2;6;6;0;1;3;4;4
Kupplungssatz;479;19147;23;0,0141;7;8;4;4;9;2;0;4;8;8
Kupplungssatz;479;25470;6;0,0037;1;2;2;1;4;0;0;0;3;3
Kupplungssatz;479;19573;6;0,0037;5;5;3;3;5;0;1;4;7;5
Kupplungssatz;479;15697;2;0,0012;2;2;1;2;2;2;0;2;2;4
Kupplungssatz;479;114196;3;0,0018;3;4;1;4;2;2;3;1;2;2
Kupplungssatz;479;56222;1;0,0006;0;0;0;1;1;0;0;0;0;0
Kupplungssatz;479;19975;26;0,016;6;8;6;6;5;2;1;3;4;11
Kupplungssatz;479;32039;2;0,0012;2;3;2;2;2;0;0;2;2;4
Kupplungssatz;479;127521;14;0,0086;0;2;1;0;0;1;0;0;2;2
Kupplungssatz;479;55125;14;0,0086;2;2;1;1;2;0;1;2;2;2
Kupplungssatz;479;123350;2;0,0012;0;2;0;1;5;0;0;0;0;2
Kupplungssatz;479;110021;1;0,0006;0;1;0;1;0;0;0;0;0;2
Kupplungssatz;479;100778;1;0,0006;1;1;0;1;3;1;1;1;1;3
