GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
479;"2026/2";"SEE";6;"Schaeffler LuK";"622303600";18
479;"2026/2";"SEE";6;"Schaeffler LuK";"624354709";5
479;"2026/2";"Germany";6;"Schaeffler LuK";"600027700";302
479;"2026/2";"Nordic";4828;"RYMEC";"JT1694";1
479;"2026/2";"Germany";6;"Schaeffler LuK";"624375900";114
479;"2026/2";"EEU";6;"Schaeffler LuK";"600017100";10
479;"2026/2";"EEU";6;"Schaeffler LuK";"623309700";26
479;"2026/2";"EEU";6;"Schaeffler LuK";"624329733";26
479;"2026/2";"Germany";6;"Schaeffler LuK";"600037100";2605
479;"2026/2";"Germany";6;"Schaeffler LuK";"602000700";310
479;"2026/2";"Germany";6;"Schaeffler LuK";"620317300";341
479;"2026/2";"Germany";6;"Schaeffler LuK";"620326800";457
479;"2026/2";"Germany";6;"Schaeffler LuK";"622333621";428
479;"2026/2";"Germany";6;"Schaeffler LuK";"623315033";13
479;"2026/2";"Germany";6;"Schaeffler LuK";"623354800";172
479;"2026/2";"Germany";6;"Schaeffler LuK";"624315000";3
479;"2026/2";"Germany";6;"Schaeffler LuK";"624318034";269
479;"2026/2";"Germany";6;"Schaeffler LuK";"624321800";77
479;"2026/2";"Germany";32;"SACHS";"3000970117";20
479;"2026/2";"Germany";32;"SACHS";"3000990131";400
479;"2026/2";"Germany";156;"JAPANPARTS";"KF391";6
479;"2026/2";"Germany";156;"JAPANPARTS";"KF649";7
479;"2026/2";"Germany";350;"BLUE PRINT";"ADF1230143";35
479;"2026/2";"Germany";350;"BLUE PRINT";"ADG030248";13
479;"2026/2";"Germany";350;"BLUE PRINT";"ADV183056";168
479;"2026/2";"Germany";4828;"RYMEC";"JT1633";7
479;"2026/2";"Germany";4828;"RYMEC";"JT73621083";21
479;"2026/2";"EEU";32;"SACHS";"3000951120";4
479;"2026/2";"EEU";32;"SACHS";"3000951210";33
479;"2026/2";"EEU";32;"SACHS";"3000951496";1
479;"2026/2";"EEU";32;"SACHS";"3000951539";1
479;"2026/2";"EEU";32;"SACHS";"3000951556";148
479;"2026/2";"EEU";32;"SACHS";"3000951627";4
479;"2026/2";"EEU";32;"SACHS";"3000951785";2
479;"2026/2";"EEU";32;"SACHS";"3000951949";5
479;"2026/2";"EEU";32;"SACHS";"3000954222";6
479;"2026/2";"EEU";32;"SACHS";"3000970005";22
479;"2026/2";"EEU";32;"SACHS";"3000970127";16
479;"2026/2";"EEU";32;"SACHS";"3000970148";20
479;"2026/2";"EEU";32;"SACHS";"3000970152";2
479;"2026/2";"Portugal";32;"SACHS";"2290602004";23
479;"2026/2";"West Europe";6;"Schaeffler LuK";"624374234";11
479;"2026/2";"West Europe";6;"Schaeffler LuK";"625316509";4
479;"2026/2";"ROW";32;"SACHS";"3000951463";1
479;"2026/2";"West Europe";6;"Schaeffler LuK";"618309600";108
479;"2026/2";"N";4828;"RYMEC";"JT1647";10
479;"2026/2";"Germany";6;"Schaeffler LuK";"619304334";77
479;"2026/2";"Germany";6;"Schaeffler LuK";"620326823";18
479;"2026/2";"Germany";6;"Schaeffler LuK";"622062300";145
479;"2026/2";"Germany";6;"Schaeffler LuK";"623323800";192
479;"2026/2";"Germany";6;"Schaeffler LuK";"623376500";589
479;"2026/2";"Germany";6;"Schaeffler LuK";"624334500";6
479;"2026/2";"Germany";6;"Schaeffler LuK";"624335233";32
479;"2026/2";"Germany";6;"Schaeffler LuK";"624355333";887
479;"2026/2";"Germany";6;"Schaeffler LuK";"624374233";80
