GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;BorgWarner;HERTH+BUSS JAKOPARTS;RYMEC;SACHS
Absolut;;;160106;;137753;157173;136235;152160;152837;96632;0;115819;143561;153822
Prozent;;;;;86;98;85;95;95;60;0;72;90;96
Kupplungssatz;479;31116;54;0,0337;8;7;3;3;6;1;0;3;3;1
Kupplungssatz;479;370;45;0,0281;7;4;2;3;6;3;0;3;5;4
Kupplungssatz;479;2465;14;0,0087;1;1;0;1;4;1;0;0;1;1
Kupplungssatz;479;4510;16;0,01;1;1;2;1;3;1;0;1;1;1
Kupplungssatz;479;11757;27;0,0169;3;3;1;3;4;1;0;2;3;2
Kupplungssatz;479;15514;6;0,0037;3;1;1;1;2;1;0;1;1;1
Kupplungssatz;479;28131;17;0,0106;2;1;1;1;2;1;0;1;1;2
Kupplungssatz;479;31959;5;0,0031;2;3;1;3;3;0;0;0;0;4
Kupplungssatz;479;29566;110;0,0687;5;7;4;5;7;0;0;3;2;3
Kupplungssatz;479;12961;20;0,0125;6;10;5;7;6;3;0;1;11;6
Kupplungssatz;479;19945;3;0,0019;0;0;0;0;2;1;0;0;0;3
Kupplungssatz;479;19975;27;0,0169;6;8;6;6;5;2;0;1;4;11
Kupplungssatz;479;121722;2;0,0012;2;4;0;2;1;0;0;2;0;0
Kupplungssatz;479;18785;11;0,0069;7;4;0;3;6;3;0;3;5;4
Kupplungssatz;479;14181;6;0,0037;4;5;4;4;5;1;0;0;6;3
Kupplungssatz;479;58609;38;0,0237;4;6;5;6;8;3;0;4;6;6
Kupplungssatz;479;130184;9;0,0056;2;3;0;2;7;1;0;2;0;3
Kupplungssatz;479;136077;3;0,0019;3;2;2;1;9;0;0;0;0;3
Kupplungssatz;479;56556;4;0,0025;2;6;2;1;2;0;0;1;1;2
Kupplungssatz;479;34747;4;0,0025;5;6;3;5;7;3;0;5;5;1
Kupplungssatz;479;113668;8;0,005;2;1;1;1;4;1;0;1;1;1
Kupplungssatz;479;18360;8;0,005;10;12;9;11;12;1;0;6;14;12
