NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"000000000020686031";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0000071794918";16;12;0;4;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"000170800";9;9;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000210409";14;14;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"000210809";5;4;0;1;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"000228200";7;7;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000228300";21;21;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0002500400";1;1;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002500900";201;189;0;12;24;24;13;100;1;0;1;0;479;"Kupplungssatz"
"0002501000";80;68;0;12;3;3;0;100;0;0;1;0;479;"Kupplungssatz"
"0002506215";6;6;0;0;3;2;0;66,67;0;0;1;0;479;"Kupplungssatz"
"0002520705";4;3;0;1;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002521511";1;1;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002523311";15;14;0;1;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002525205";20;20;0;0;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"0002525905";6;6;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002527711";10;10;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0002541608";111;104;0;7;23;1;0;4,35;0;0;1;0;479;"Kupplungssatz"
"0002542508";431;410;2;19;42;3;0;7,14;0;0;1;0;479;"Kupplungssatz"
"0003231V012000000";17;14;0;3;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0003231V016000000";4;4;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0009856V002000000";21;17;0;4;3;3;3;100;1;0;1;0;479;"Kupplungssatz"
"001210009";1;1;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001210200";2;2;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001228600";6;6;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001228620";21;21;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
