NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"00004320730";117;107;0;10;10;1;0;10;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"00004321044";752;503;34;215;30;4;0;13,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"00004330513";451;366;22;63;10;2;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"00004330634";236;148;82;6;26;3;0;11,54;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0019901117";418;316;3;99;36;4;4;11,11;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"002989060313";118;67;4;47;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0019899803";31;14;8;9;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0009892002";140;47;6;87;2;1;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"002989060309";138;135;0;3;4;2;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0029909503";322;236;7;79;15;5;0;33,33;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350201";1541;1505;10;26;239;225;3;94,14;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"00K68218925AB";17;9;0;8;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"00K68233701AA";2;2;0;0;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200";188;180;1;7;34;32;0;94,12;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200SK";41;33;1;7;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200XK";31;30;0;1;2;1;0;50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350204";349;338;2;9;72;69;0;95,83;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350202";30;26;4;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350203";323;322;0;1;69;66;0;95,65;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
