GENART;LDATE;DLNR;DLNRBEZ;QTY_POS
4921;"2024";151;"SWAG";312
4921;"2024";4416;"GCG TURBOS AUSTRALIA";1
4921;"2024";2112;"OE-FIT Schäferbarthold";36
4921;"2024";4342;"TCMATIC";1224
4921;"2024";1368;"_DEL_A.I.C. Competition Line";19
4921;"2024";68;"ZF";49162
4921;"2024";144;"MEYLE";82565
4921;"2024";162;"VAICO";75811
4921;"2024";6357;"Stark";1
4921;"2024";6558;"AIC";1261
4921;"2024";4972;"ASYSUM";1
4921;"2024";6934;"GeBox";1
4921;"2024";2728;"ORIGINAL Schäferbarthold";2
4921;"2024";101;"FEBI BILSTEIN";23003
4921;"2024";4011;"TECNECO FILTERS";15
4921;"2024";209;"TRUCKTEC AUTOMOTIVE";80
4921;"2024";81;"HENGST FILTER";32
4921;"2024";-1;"Eigenmarken";1726
