GENART;LDATE;DLNR;DLNRBEZ;NARTNR;QTY_POS
4921;"2024";101;"FEBI BILSTEIN";"171772";2366
4921;"2024";101;"FEBI BILSTEIN";"171748";1837
4921;"2024";68;"ZF";"1087298364";10258
4921;"2024";144;"MEYLE";"0141351402";1885
4921;"2024";68;"ZF";"1068298084";146
4921;"2024";162;"VAICO";"V103223";4805
4921;"2024";144;"MEYLE";"0141350200";216
4921;"2024";162;"VAICO";"V103220BEK";690
4921;"2024";162;"VAICO";"V103025XXL";2008
4921;"2024";101;"FEBI BILSTEIN";"176874";99
4921;"2024";144;"MEYLE";"1001350108";817
4921;"2024";144;"MEYLE";"3001351005";712
4921;"2024";101;"FEBI BILSTEIN";"176899";9
4921;"2024";144;"MEYLE";"0141350300";2667
4921;"2024";144;"MEYLE";"1001350003";568
4921;"2024";144;"MEYLE";"1001350115SK";684
4921;"2024";162;"VAICO";"V105546";21
4921;"2024";144;"MEYLE";"0141351202";1146
4921;"2024";144;"MEYLE";"1001350109";1249
4921;"2024";68;"ZF";"1087298369";864
4921;"2024";144;"MEYLE";"7141350004";98
4921;"2024";144;"MEYLE";"0141350200SK";37
4921;"2024";68;"ZF";"5961308444";64
4921;"2024";144;"MEYLE";"3001351006";81
4921;"2024";144;"MEYLE";"2141350100";184
4921;"2024";144;"MEYLE";"0141350305XK";398
4921;"2024";209;"TRUCKTEC AUTOMOTIVE";"0825064";21
4921;"2024";209;"TRUCKTEC AUTOMOTIVE";"0825065";59
4921;"2024";68;"ZF";"1102298019";65
4921;"2024";4342;"TCMATIC";"1051110018";63
4921;"2024";4342;"TCMATIC";"1051010013";16
4921;"2024";4342;"TCMATIC";"1051070002";36
4921;"2024";4342;"TCMATIC";"1051090001";22
4921;"2024";68;"ZF";"1102298020";39
4921;"2024";4342;"TCMATIC";"1051070005";14
4921;"2024";68;"ZF";"1060298072";131
4921;"2024";4342;"TCMATIC";"1051060005";55
4921;"2024";1368;"_DEL_A.I.C. Competition Line";"73977SET";1
4921;"2024";68;"ZF";"1068298054";48
4921;"2024";162;"VAICO";"V402114";521
4921;"2024";6558;"AIC";"70937SET";16
4921;"2024";162;"VAICO";"V302253BEK";74
4921;"2024";6558;"AIC";"74780SET";202
4921;"2024";162;"VAICO";"V103231XXL";100
4921;"2024";162;"VAICO";"V103222BEK";71
4921;"2024";162;"VAICO";"V520389";71
4921;"2024";144;"MEYLE";"3001350001";195
4921;"2024";162;"VAICO";"V202089XXL";88
4921;"2024";162;"VAICO";"V103228";25
4921;"2024";144;"MEYLE";"1001350016SK";50
4921;"2024";68;"ZF";"5961308375";257
4921;"2024";144;"MEYLE";"0141351202XK";328
4921;"2024";4342;"TCMATIC";"1051010006";5
4921;"2024";162;"VAICO";"V202089";165
4921;"2024";162;"VAICO";"V103218BEK";38
4921;"2024";162;"VAICO";"V103225XXL";62
4921;"2024";162;"VAICO";"V202082BEK";18
4921;"2024";144;"MEYLE";"18141350100";13
4921;"2024";68;"ZF";"1087298367";7
4921;"2024";144;"MEYLE";"0141351600XK";25
4921;"2024";4342;"TCMATIC";"1051050003";6
4921;"2024";162;"VAICO";"V202094BEK";28
4921;"2024";162;"VAICO";"V103214XXL";21
4921;"2024";4342;"TCMATIC";"1051120002";9
4921;"2024";162;"VAICO";"V252191BEK";36
4921;"2024";162;"VAICO";"V202094XXL";8
4921;"2024";101;"FEBI BILSTEIN";"188364";65
4921;"2024";162;"VAICO";"V250797";63
4921;"2024";4342;"TCMATIC";"1051061012";1
4921;"2024";162;"VAICO";"V380222BEK";19
4921;"2024";68;"ZF";"1109298030";38
4921;"2024";162;"VAICO";"V304427XXL";17
4921;"2024";6558;"AIC";"73964SET";18
4921;"2024";81;"HENGST FILTER";"KIT821";13
4921;"2024";151;"SWAG";"33110283";2
4921;"2024";4342;"TCMATIC";"1051060012";12
4921;"2024";4342;"TCMATIC";"1051110007";6
