GENART_DESC;GENARTNR;TYPENR;BSK_POS;ART_CNT;KHER;KMOD;KW;BJVON;BJBIS;PS;CCMTECH
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;29;1;0;"BMW";"3 (E30)";95;198610;199104;129;1990
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;54;1;0;"BMW";"3 (E36)";110;199101;199802;150;1990
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;55;13;0;"BMW";"3 Coupe (E36)";110;199112;199811;150;1990
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;68;1;2;"FORD";"C-MAX II (DXA/CB7, DXA/CEU)";110;201012;201906;150;1596
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;71;2;2;"FORD";"C-MAX II (DXA/CB7, DXA/CEU)";85;201012;201906;115;1560
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;73;1;2;"FORD";"GRAND C-MAX (DXA/CB7, DXA/CEU)";92;201012;201906;125;1596
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;74;1;2;"FORD";"GRAND C-MAX (DXA/CB7, DXA/CEU)";110;201012;201906;150;1596
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;76;1;2;"FORD";"GRAND C-MAX (DXA/CB7, DXA/CEU)";70;201012;201906;95;1560
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;77;2;2;"FORD";"GRAND C-MAX (DXA/CB7, DXA/CEU)";85;201012;201906;115;1560
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;214;1;0;"VW";"PASSAT B7 (362)";90;201008;201412;122;1390
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;238;5;0;"BMW";"5 (E34)";110;199004;199508;150;1990
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;241;9;0;"BMW";"5 (E34)";141;199003;199508;192;2494
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;250;2;4;"BMW";"5 (E34)";210;199209;199512;286;3982
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;252;1;0;"BMW";"5 Touring (E34)";141;199107;199607;192;2494
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;253;1;0;"BMW";"5 Touring (E34)";141;199201;199603;192;2494
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;255;1;0;"BMW";"5 Touring (E34)";160;199209;199607;218;2997
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;269;4;0;"VW";"PASSAT B7 (362)";118;201008;201412;160;1798
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;276;7;2;"VW";"PASSAT B7 (362)";155;201011;201412;210;1984
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;287;2;0;"BMW";"7 (E32)";160;199204;199409;218;2997
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;290;2;4;"BMW";"7 (E32)";210;199205;199403;286;3982
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;292;4;0;"BMW";"8 (E31)";220;199001;199408;300;4988
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;294;54;0;"VW";"PASSAT B7 (362)";103;201008;201412;140;1968
"Teilesatz, Automatikgetriebe-Ölwechsel";4921;295;1;0;"VW";"PASSAT B7 (362)";103;201008;201412;140;1968
