GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);MEYLE;TRUCKTEC AUTOMOTIVE;AIC;VAICO;MAXGEAR;TCMATIC;ZF;FEBI BILSTEIN;HENGST FILTER;SWAG
Absolut;;;44487;;39496;4852;38407;43197;136;43995;34022;33536;32702;26613
Prozent;;;;;89;11;86;97;0;99;76;75;74;60
Teilesatz, Automatikgetriebe-?lwechsel;4921;118114;1;0,0022;9;1;2;6;0;6;2;4;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;100477;6;0,0135;3;0;2;3;0;3;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;107349;4;0,009;3;0;5;11;0;12;0;1;3;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;116778;1;0,0022;3;0;2;2;0;3;3;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;10413;19;0,0427;2;0;7;10;0;15;2;1;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;123992;1;0,0022;5;0;5;5;0;10;3;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;26579;5;0,0112;7;0;17;3;0;8;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;141973;1;0,0022;0;0;2;4;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;108158;1;0,0022;0;0;2;2;0;6;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;108006;37;0,0832;9;1;6;6;0;7;5;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;139332;1;0,0022;0;0;0;2;0;3;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;136272;9;0,0202;6;1;2;3;0;3;2;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;118954;5;0,0112;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;129555;9;0,0202;3;0;2;7;0;6;2;1;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;100551;46;0,1034;9;1;6;6;0;3;5;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;127857;6;0,0135;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;118034;28;0,0629;3;0;3;7;0;7;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;141859;6;0,0135;3;0;2;7;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;146122;1;0,0022;6;0;0;0;0;12;2;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;18021;8;0,018;6;1;3;3;0;3;2;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;136648;2;0,0045;3;0;2;2;0;3;3;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;108155;3;0,0067;3;0;0;4;0;2;0;0;1;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;128534;1;0,0022;7;0;9;0;0;6;3;2;0;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;7867;1;0,0022;4;0;5;6;0;8;0;3;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;16593;31;0,0697;5;0;8;7;0;4;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;14811;6;0,0135;2;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;27009;2;0,0045;8;0;3;6;0;5;2;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;17813;16;0,036;12;1;5;14;0;9;2;2;2;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;100750;76;0,1708;9;1;6;6;0;3;5;3;1;2
Teilesatz, Automatikgetriebe-?lwechsel;4921;32787;54;0,1214;3;0;5;2;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;8894;1;0,0022;3;0;0;3;0;3;2;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;115102;2;0,0045;4;0;4;5;0;7;4;1;1;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;117078;4;0,009;3;0;3;7;0;9;0;0;2;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;15150;4;0,009;2;0;0;3;0;3;0;0;0;0
Teilesatz, Automatikgetriebe-?lwechsel;4921;58766;10;0,0225;6;0;7;6;0;5;0;1;2;1
