GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);HENGST FILTER;FEBI BILSTEIN;MEYLE;SWAG;VAICO;TRUCKTEC AUTOMOTIVE;ORIGINAL Sch?ferbarthold;TCMATIC;AIC;ZF
;Absolut;;29314;;12081;19502;23886;13620;26368;2049;1528;22994;18933;19769
;Prozent;;;;41;67;81;46;90;7;5;78;65;67
4921;Teilesatz, Automatikgetriebe-?lwechsel;000989330711;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;001325429A;1;0,0034;0;0;1;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;002989060312;1;0,0034;1;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0049903512;1;0,0034;0;0;0;0;1;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0071742458;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;007603010100;1;0,0034;1;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;00K68218925AB;1;0,0034;0;0;0;0;1;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140270051;1;0,0034;0;1;0;1;1;0;0;1;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140272102;1;0,0034;0;1;0;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140272104;1;0,0034;0;0;0;0;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140370000;1;0,0034;0;1;0;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140370005S;2;0,0068;0;1;0;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350200;4;0,0136;1;1;1;1;1;0;0;1;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350200SK;3;0,0102;0;1;1;1;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350200XK;1;0,0034;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350201;49;0,1672;0;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350202;1;0,0034;0;0;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350203;15;0,0512;1;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350203SK;3;0,0102;0;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350204;13;0,0443;0;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350204SK;4;0,0136;0;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350211;99;0,3377;1;1;1;1;1;0;0;1;1;0
