GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);VAICO;ZF;ORIGINAL Sch?ferbarthold;FEBI BILSTEIN;TCMATIC;SWAG;TRUCKTEC AUTOMOTIVE;HENGST FILTER;AIC;MEYLE
Absolut;;;44638;;43175;34505;5174;33991;44013;26775;4940;32837;38637;39939
Prozent;;;;;97;77;12;76;99;60;11;74;87;89
Teilesatz, Automatikgetriebe-?lwechsel;4921;54932;1;0,0022;6;2;0;1;6;1;1;2;5;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;136495;9;0,0202;4;3;0;1;6;1;0;1;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;33307;20;0,0448;3;2;0;1;3;0;0;0;2;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;17973;4;0,009;3;2;0;3;3;1;0;1;3;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;59619;15;0,0336;5;2;0;2;6;1;0;1;5;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;117082;6;0,0134;9;0;0;0;10;0;0;3;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;22672;5;0,0112;6;2;0;1;6;1;1;2;5;4
Teilesatz, Automatikgetriebe-?lwechsel;4921;108594;26;0,0582;11;2;0;1;12;0;0;2;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;112348;2;0,0045;6;5;1;3;3;2;1;1;6;9
Teilesatz, Automatikgetriebe-?lwechsel;4921;107349;1;0,0022;11;0;0;1;12;1;0;3;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;23303;2;0,0045;9;4;0;1;3;1;0;2;5;6
Teilesatz, Automatikgetriebe-?lwechsel;4921;142281;14;0,0314;6;2;0;1;5;0;0;0;0;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;107351;4;0,009;11;3;0;1;12;0;0;2;5;3
Teilesatz, Automatikgetriebe-?lwechsel;4921;58534;11;0,0246;2;0;0;1;3;1;0;1;2;1
Teilesatz, Automatikgetriebe-?lwechsel;4921;123425;54;0,121;7;2;0;1;9;1;0;1;9;7
