GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
4921;"2026/2";"Austria";144;"MEYLE";2437
4921;"2026/2";"EEU";101;"FEBI BILSTEIN";644
4921;"2026/2";"Nordic";4342;"TCMATIC";23
4921;"2026/2";"EEU";101;"FEBI BILSTEIN";10
4921;"2026/2";"Nordic";101;"FEBI BILSTEIN";53
4921;"2026/2";"Nordic";144;"MEYLE";5
4921;"2026/2";"Spain";151;"SWAG";19
4921;"2026/2";"West Europe";68;"ZF";269
4921;"2026/2";"Nordic";144;"MEYLE";107
4921;"2026/2";"Nordic";101;"FEBI BILSTEIN";14
4921;"2026/2";"EEU";144;"MEYLE";81
4921;"2026/2";"B";101;"FEBI BILSTEIN";125
4921;"2026/2";"West Europe";162;"VAICO";32
4921;"2026/2";"Germany";209;"TRUCKTEC AUTOMOTIVE";18
4921;"2026/2";"Nordic";2728;"ORIGINAL Schäferbarthold";10
4921;"2026/2";"Romania";162;"VAICO";56
4921;"2026/2";"EEU";4342;"TCMATIC";4
4921;"2026/2";"West Europe";144;"MEYLE";33
4921;"2026/2";"Other";101;"FEBI BILSTEIN";1
4921;"2026/2";"ROW";144;"MEYLE";8
4921;"2026/2";"Other";403;"MAXGEAR";2
4921;"2026/2";"EEU";162;"VAICO";3
4921;"2026/2";"SEE";68;"ZF";15
4921;"2026/2";"N";4342;"TCMATIC";2
4921;"2026/2";"Other";162;"VAICO";2
4921;"2026/2";"Other";144;"MEYLE";1
4921;"2026/2";"West Europe";6558;"AIC";1
4921;"2026/2";"Other";144;"MEYLE";1
4921;"2026/2";"Austria";68;"ZF";917
4921;"2026/2";"Slovenia";101;"FEBI BILSTEIN";429
4921;"2026/2";"Croatia";68;"ZF";697
4921;"2026/2";"Croatia";144;"MEYLE";475
4921;"2026/2";"N";101;"FEBI BILSTEIN";131
4921;"2026/2";"SEE";68;"ZF";804
4921;"2026/2";"Nordic";162;"VAICO";5
4921;"2026/2";"West Europe";4342;"TCMATIC";36
4921;"2026/2";"Balkan";144;"MEYLE";98
4921;"2026/2";"West Europe";68;"ZF";114
4921;"2026/2";"Slovenia";4342;"TCMATIC";2
