GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);ZF;HENGST FILTER;FEBI BILSTEIN;MEYLE;SWAG;TRUCKTEC AUTOMOTIVE;MAXGEAR;TCMATIC;AIC;VAICO
;Absolut;;26940;;18672;11352;17933;22451;12566;1879;329;21401;17784;24706
;Prozent;;;;69;42;67;83;47;7;1;79;66;92
4921;Teilesatz, Automatikgetriebe-?lwechsel;00004321044;2;0,0074;0;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0009892002;1;0,0037;0;0;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0029909503;2;0,0074;1;1;0;0;0;0;0;0;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140272102S;2;0,0074;0;0;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140370000;2;0,0074;0;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140370004S;1;0,0037;1;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0140370005S;1;0,0037;1;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350200;9;0,0334;0;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350200SK;1;0,0037;0;0;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350201;35;0,1299;1;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350203;16;0,0594;1;1;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350203SK;3;0,0111;1;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350204;17;0,0631;1;0;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350204SK;5;0,0186;1;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350211;86;0,3192;0;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350211SK;15;0,0557;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350213;9;0,0334;0;0;1;1;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;0141350213XK;2;0,0074;0;0;1;1;1;0;0;1;0;1
